"predicate","rating","name","CC","participant_id","age","gender","rt","trial_index"
"explain",1,"Blake","the gate opened","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",8742,3
"warn",1,"Stevie","the bolt loosened","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",6705,5
"stipulate",1,"Jamie","the sauce thickened","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",6360,6
"assert",1,"Harper","the computer restarted","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",4937,7
"know",1,"Morgan","the factory closed","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",5426,9
"establish",1,"Jordan","the egg cracked","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",7965,10
"embellish",1,"Evan","the paper burned","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",3351,11
"proclaim",1,"Frankie","the room darkened","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",4251,12
"underline",1,"Charlie","the knot tightened","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",4948,13
"bicker",0,"Reese","the airbag deployed","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",13522,14
"quarrel",1,"Dylan","the balloon popped","81d9a83f-c0cc-4508-95ea-9e176f006e52","21","male",5403,15
"uncover",1,"Reese","the factory closed","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",8621,5
"specify",1,"Dylan","the sauce thickened","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",7997,6
"debate",1,"Evan","the airbag deployed","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",6207,7
"admit",1,"Stevie","the room darkened","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",8593,9
"showcase",1,"Frankie","the egg cracked","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",5495,10
"share",1,"Blake","the knot tightened","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",6079,11
"record",1,"Morgan","the computer restarted","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",4667,12
"underline",1,"Harper","the balloon popped","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",4435,13
"tweet",1,"Charlie","the paper burned","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",4153,14
"add",1,"Jamie","the bolt loosened","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",5863,15
"whimper",1,"Jordan","the gate opened","237cb5f0-49d0-421f-8b03-601dbaa9e6c2","52","female",11969,16
"fuss",1,"Jamie","the room darkened","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",7820,3
"blog",-0.08,"Evan","the egg cracked","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",18834,4
"reaffirm",-0.12,"Reese","the factory closed","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",15377,6
"warn",-0.0600000000000001,"Morgan","the sauce thickened","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",10918,7
"divulge",0.54,"Jordan","the balloon popped","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",9106,8
"insist",-0.04,"Frankie","the gate opened","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",10127,9
"signify",-0.04,"Harper","the airbag deployed","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",20915,11
"document",-0.0600000000000001,"Dylan","the computer restarted","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",7814,12
"contend",-0.08,"Stevie","the knot tightened","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",7251,13
"log",-0.0600000000000001,"Blake","the bolt loosened","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",6430,14
"submit",-0.0600000000000001,"Charlie","the paper burned","0269003c-0abc-402b-8a34-3dbbf2641f74","67","male",4953,15
"clarify",-1,"Dylan","the computer restarted","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",8191,3
"disclose",1,"Blake","the knot tightened","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",4695,4
"contend",-0.96,"Jamie","the egg cracked","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",5663,5
"shout",-1,"Jordan","the gate opened","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",3671,6
"certify",-1,"Stevie","the factory closed","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",2848,7
"contest",1,"Harper","the paper burned","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",4855,8
"apologize",1,"Morgan","the room darkened","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",5008,9
"uncover",1,"Frankie","the bolt loosened","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",4543,11
"rant",1,"Charlie","the airbag deployed","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",6199,12
"babble",1,"Evan","the sauce thickened","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",4312,13
"radio",1,"Reese","the balloon popped","7426c3b1-64ff-4e61-b281-de3f65d61a93","33","female",4606,14
"pretend",-1,"Harper","the computer restarted","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",9572,3
"mention",1,"Blake","the airbag deployed","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",11114,5
"grunt",1,"Stevie","the sauce thickened","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",11470,6
"warrant",1,"Reese","the gate opened","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",13143,7
"quip",1,"Frankie","the bolt loosened","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",11297,8
"question",1,"Evan","the balloon popped","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",7875,9
"phone",1,"Jamie","the knot tightened","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",16764,11
"jest",1,"Charlie","the paper burned","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",10898,12
"argue",1,"Jordan","the factory closed","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",7409,13
"demonstrate",-1,"Dylan","the room darkened","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",6495,14
"retort",1,"Morgan","the egg cracked","cef4cef9-ade4-456f-85cb-212cb8542e4a","31","female",10230,15
"fax",1,"Stevie","the room darkened","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",5693,5
"mention",1,"Dylan","the bolt loosened","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",4221,6
"disclose",1,"Frankie","the knot tightened","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",3337,7
"jest",1,"Evan","the balloon popped","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",5221,8
"uphold",1,"Blake","the airbag deployed","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",5375,9
"joke",1,"Morgan","the computer restarted","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",4073,10
"spout",0.0600000000000001,"Reese","the sauce thickened","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",6925,11
"boast",1,"Harper","the factory closed","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",4190,12
"reassert",1,"Jamie","the paper burned","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",5051,13
"publicize",1,"Jordan","the egg cracked","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",3585,14
"relate",1,"Charlie","the gate opened","739bd392-7254-4c2e-a0e2-7e0dfff8d818","34","female",3385,15
"flaunt",0.7,"Reese","the balloon popped","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",17945,3
"confess",1,"Dylan","the egg cracked","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",8981,4
"specify",-0.38,"Harper","the bolt loosened","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",20126,5
"tease",-0.04,"Morgan","the factory closed","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",10185,6
"debate",0.54,"Charlie","the paper burned","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",9549,7
"describe",0.84,"Evan","the room darkened","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",8058,9
"uncover",0.78,"Stevie","the sauce thickened","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",10460,10
"document",1,"Jamie","the airbag deployed","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",7334,11
"clarify",0.02,"Blake","the computer restarted","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",11952,12
"dispel",0.84,"Jordan","the knot tightened","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",8689,13
"gab",1,"Frankie","the gate opened","e0cf1f98-0bf1-4090-8b1a-92783ec4ccfa","36","male",13175,15
"advertise",0.96,"Jordan","the airbag deployed","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",10199,3
"expose",0.98,"Dylan","the paper burned","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",4738,4
"reaffirm",0.96,"Frankie","the knot tightened","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",4809,5
"narrate",0.98,"Jamie","the room darkened","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",3703,6
"gasp",0.98,"Charlie","the balloon popped","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",4171,7
"cheer",-0.94,"Evan","the egg cracked","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",7619,8
"lie",1,"Harper","the bolt loosened","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",6770,9
"joke",0.98,"Stevie","the computer restarted","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",3607,10
"dispel",-0.96,"Morgan","the factory closed","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",3405,11
"preach",-0.92,"Blake","the sauce thickened","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",6413,12
"exclaim",-0.96,"Reese","the gate opened","a0e5be70-c78d-4d54-9347-543002d252c9","30","female",5700,15
"utter",-1,"Morgan","the room darkened","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",16383,3
"whisper",-0.62,"Frankie","the paper burned","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",13071,4
"admit",-0.96,"Evan","the gate opened","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",9414,5
"retract",-1,"Stevie","the bolt loosened","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",7135,6
"fabricate",1,"Charlie","the computer restarted","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",6022,8
"shout",1,"Harper","the factory closed","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",7064,9
"flaunt",1,"Jamie","the sauce thickened","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",4007,10
"point out",1,"Dylan","the balloon popped","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",6895,11
"whimper",1,"Jordan","the egg cracked","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",15975,13
"sigh",-1,"Blake","the knot tightened","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",9544,14
"exhibit",-0.96,"Reese","the airbag deployed","cb332d8a-6af0-4bc1-a445-04dad76be6fe","36","female",8582,15
"yell",0.86,"Jamie","the balloon popped","11cfc4be-697d-4058-8d07-d56be969435c","57","female",4764,3
"argue",0.94,"Morgan","the sauce thickened","11cfc4be-697d-4058-8d07-d56be969435c","57","female",4472,4
"disclose",0.9,"Frankie","the room darkened","11cfc4be-697d-4058-8d07-d56be969435c","57","female",3875,5
"guarantee",-0.32,"Jordan","the airbag deployed","11cfc4be-697d-4058-8d07-d56be969435c","57","female",8863,6
"answer",0.14,"Blake","the knot tightened","11cfc4be-697d-4058-8d07-d56be969435c","57","female",7354,8
"publish",0.78,"Evan","the factory closed","11cfc4be-697d-4058-8d07-d56be969435c","57","female",5343,9
"endorse",0.76,"Harper","the bolt loosened","11cfc4be-697d-4058-8d07-d56be969435c","57","female",11008,10
"dismiss",1,"Dylan","the gate opened","11cfc4be-697d-4058-8d07-d56be969435c","57","female",6095,11
"gloat",0.46,"Charlie","the computer restarted","11cfc4be-697d-4058-8d07-d56be969435c","57","female",4918,12
"mention",1,"Stevie","the paper burned","11cfc4be-697d-4058-8d07-d56be969435c","57","female",3549,13
